school,city,county,Adm,App,Enr
ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,9.0,58.0,3.0
AMERICAN RIVER COLLEGE,Sacramento,Sacramento,27.0,122.0,11.0
ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,40.0,107.0,27.0
BAKERSFIELD COLLEGE,Bakersfield,Kern,12.0,90.0,6.0
BARSTOW COLLEGE,Barstow,San Bernardino,3.0,13.0,
BERKELEY CITY COLLEGE,Berkeley,Alameda,75.0,278.0,25.0
BUTTE COLLEGE,Oroville,Butte,5.0,27.0,
CABRILLO COLLEGE,Aptos,Santa Cruz,44.0,155.0,27.0
CANADA COLLEGE,Redwood City,San Mateo,15.0,67.0,6.0
CERRITOS COLLEGE,Norwalk,Los Angeles,42.0,185.0,29.0
CHABOT COLLEGE,Hayward,Alameda,52.0,148.0,17.0
CHAFFEY COLLEGE,Rancho Cucamonga,San Bernardino,24.0,165.0,13.0
CITRUS COLLEGE,Glendora,Los Angeles,40.0,193.0,29.0
CITY COLLEGE SAN FRANCISCO,San Francisco,San Francisco,66.0,299.0,24.0
CLOVIS COMMUNITY COLLEGE,Fresno,Fresno,15.0,53.0,10.0
COASTLINE COMMUNITY COLLEGE,Fountain Valley,Orange,8.0,43.0,
COLLEGE OF ALAMEDA,Alameda,Alameda,13.0,51.0,5.0
COLLEGE OF MARIN,Kentfield,Marin,24.0,101.0,6.0
COLLEGE OF SAN MATEO,San Mateo,San Mateo,39.0,228.0,20.0
COLLEGE OF THE CANYONS,Santa Clarita,Los Angeles,107.0,357.0,77.0
COLLEGE OF THE DESERT,Palm Desert,Riverside,26.0,105.0,15.0
COLLEGE OF THE SEQUOIAS,Visalia,Tulare,12.0,58.0,6.0
CONTRA COSTA COLLEGE,San Pablo,Contra Costa,12.0,73.0,
COSUMNES RIVER COLLEGE,Sacramento,Sacramento,16.0,77.0,6.0
CRAFTON HILLS COLLEGE,Yucaipa,San Bernardino,15.0,50.0,8.0
CUESTA COLLEGE,San Luis Obispo,San Luis Obispo,17.0,100.0,9.0
CUYAMACA COLLEGE,El Cajon,San Diego,19.0,68.0,5.0
CYPRESS COLLEGE,Cypress,Orange,37.0,158.0,23.0
DE ANZA COLLEGE,Cupertino,Santa Clara,168.0,1006.0,92.0
DIABLO VALLEY COLLEGE,Pleasant Hill,Contra Costa,195.0,848.0,73.0
EAST LOS ANGELES COLLEGE,Monterey Park,Los Angeles,87.0,431.0,67.0
EL CAMINO COLLEGE,Torrance,Los Angeles,169.0,543.0,130.0
EVERGREEN VALLEY COLLEGE,San Jose,Santa Clara,14.0,65.0,10.0
FOLSOM LAKE COLLEGE,Folsom,Sacramento,25.0,84.0,9.0
FOOTHILL COLLEGE,Los Altos Hills,Santa Clara,122.0,469.0,55.0
FRESNO CITY COLLEGE,Fresno,Fresno,12.0,58.0,5.0
FULLERTON COLLEGE,Fullerton,Orange,78.0,311.0,43.0
GAVILAN COLLEGE,Gilroy,Santa Clara,7.0,23.0,4.0
GLENDALE COMMUNITY COLLEGE,Glendale,Los Angeles,152.0,521.0,123.0
GOLDEN WEST COLLEGE,Huntington Beach,Orange,23.0,94.0,8.0
GROSSMONT CMTY COLLEGE,El Cajon,San Diego,29.0,130.0,11.0
HARTNELL COLLEGE,Salinas,Monterey,13.0,52.0,5.0
IMPERIAL VALLEY COLLEGE,Imperial,Imperial,7.0,34.0,5.0
IRVINE VALLEY COLLEGE,Irvine,Orange,145.0,662.0,80.0
LANEY COLLEGE,Oakland,Alameda,41.0,131.0,11.0
LAS POSITAS COLLEGE,Livermore,Alameda,25.0,135.0,16.0
LONG BEACH CITY COLLEGE,Long Beach,Los Angeles,65.0,209.0,48.0
LOS ANGELES CITY COLLEGE,Los Angeles,Los Angeles,56.0,220.0,38.0
LOS ANGELES HARBOR COLLEGE,Wilmington,Los Angeles,26.0,98.0,18.0
LOS ANGELES MISSION COLLEGE,Sylmar,Los Angeles,21.0,76.0,15.0
LOS ANGELES PIERCE COLLEGE,Woodland Hills,Los Angeles,189.0,457.0,153.0
LOS ANGELES SOUTHWEST COLLEGE,Los Angeles,Los Angeles,5.0,39.0,4.0
LOS ANGELES TRADE-TECH COLLEGE,Los Angeles,Los Angeles,10.0,57.0,8.0
LOS ANGELES VALLEY COLLEGE,Van Nuys,Los Angeles,69.0,283.0,52.0
LOS MEDANOS COLLEGE,Pittsburg,Contra Costa,16.0,76.0,6.0
MENDOCINO COLLEGE,Ukiah,Mendocino,3.0,15.0,
MERCED COLLEGE,Merced,Merced,5.0,34.0,
MERRITT COLLEGE,Oakland,Alameda,3.0,38.0,
MIRACOSTA COLLEGE,Oceanside,San Diego,66.0,291.0,41.0
MISSION COLLEGE,Santa Clara,Santa Clara,8.0,58.0,5.0
MODESTO JUNIOR COLLEGE,Modesto,Stanislaus,10.0,65.0,3.0
MONTEREY PENINSULA COLLEGE,Monterey,Monterey,21.0,74.0,11.0
MOORPARK COLLEGE,Moorpark,Ventura,149.0,500.0,115.0
MORENO VALLEY COLLEGE,Moreno Valley,Riverside,9.0,46.0,
MOUNT SAN JACINTO COLLEGE,San Jacinto,Riverside,27.0,138.0,14.0
MT. SAN ANTONIO COLLEGE,Walnut,Los Angeles,162.0,573.0,111.0
NAPA VALLEY COLLEGE,Napa,Napa,10.0,58.0,
NORCO COLLEGE,Norco,Riverside,18.0,102.0,13.0
OHLONE COLLEGE,Fremont,Alameda,48.0,230.0,23.0
ORANGE COAST COLLEGE,Costa Mesa,Orange,104.0,499.0,65.0
OXNARD COLLEGE,Oxnard,Ventura,21.0,57.0,11.0
PALOMAR COLLEGE,San Marcos,San Diego,42.0,200.0,24.0
PASADENA CITY COLLEGE,Pasadena,Los Angeles,311.0,1118.0,215.0
PORTERVILLE COLLEGE,Porterville,Tulare,,12.0,
REEDLEY COLLEGE,Reedley,Fresno,,14.0,
RIO HONDO COLLEGE,Whittier,Los Angeles,41.0,143.0,27.0
RIVERSIDE CITY COLLEGE,Riverside,Riverside,31.0,258.0,20.0
SACRAMENTO CITY COLLEGE,Sacramento,Sacramento,33.0,166.0,14.0
SADDLEBACK COLLEGE,Mission Viejo,Orange,93.0,368.0,64.0
SAN BERNARDINO VALLEY COLLEGE,San Bernardino,San Bernardino,9.0,58.0,5.0
SAN DIEGO CITY COLLEGE,San Diego,San Diego,37.0,151.0,9.0
SAN DIEGO MESA COLLEGE,San Diego,San Diego,47.0,311.0,18.0
SAN DIEGO MIRAMAR COLLEGE,San Diego,San Diego,44.0,196.0,16.0
SAN JOAQUIN DELTA COLLEGE,Stockton,San Joaquin,12.0,65.0,6.0
SAN JOSE CITY COLLEGE,San Jose,Santa Clara,5.0,44.0,
SANTA ANA COLLEGE,Santa Ana,Orange,34.0,124.0,17.0
SANTA BARBARA CITY COLLEGE,Santa Barbara,Santa Barbara,130.0,582.0,85.0
SANTA MONICA COLLEGE,Santa Monica,Los Angeles,597.0,2014.0,466.0
SANTA ROSA JUNIOR COLLEGE,Santa Rosa,Sonoma,39.0,146.0,16.0
SANTIAGO CANYON COLLEGE,Orange,Orange,33.0,161.0,18.0
SHASTA COLLEGE,Redding,Shasta,6.0,30.0,3.0
SIERRA COLLEGE,Rocklin,Placer,30.0,132.0,13.0
SKYLINE COLLEGE,San Bruno,San Mateo,27.0,122.0,14.0
SOLANO COMMUNITY COLLEGE,Fairfield,Solano,9.0,56.0,
SOUTHWESTERN COLLEGE,Chula Vista,San Diego,21.0,122.0,8.0
VENTURA COLLEGE,Ventura,Ventura,37.0,164.0,21.0
VICTOR VALLEY COLLEGE,Victorville,San Bernardino,6.0,55.0,4.0
WEST HILLS COLLEGE LEMOORE,Lemoore,Kings,,10.0,
WEST LOS ANGELES COLLEGE,Culver City,Los Angeles,26.0,134.0,22.0
WEST VALLEY COLLEGE,Saratoga,Santa Clara,32.0,184.0,18.0
YUBA COLLEGE,Marysville,Yuba,6.0,21.0,3.0
